srcID,destID,airlineID,Source Airport,Source Country,Dest Airport,Source Country,Airline Name,Airline Country,Distance (km)
4264,1354,16150,MCM,Monaco,NCE,France,,Brazil,18
1354,4264,16150,NCE,France,MCM,Monaco,,Brazil,18
2900,2899,18700,AXA,Anguilla,SXM,Netherlands Antilles,Sochi Air ,Russia,19
2899,2900,18700,SXM,Netherlands Antilles,AXA,Anguilla,Sochi Air ,Russia,19
883,1020,16415,BZV,Congo (Brazzaville),FIH,Congo (Kinshasa),,Cameroon,26
2903,2883,16475,EIS,British Virgin Islands,STT,Virgin Islands,TUR European Airways,Turkey,47
2883,2903,16475,STT,Virgin Islands,EIS,British Virgin Islands,TUR European Airways,Turkey,47
2883,6080,16475,STT,Virgin Islands,VIJ,British Virgin Islands,TUR European Airways,Turkey,59
6080,2883,16475,VIJ,British Virgin Islands,STT,Virgin Islands,TUR European Airways,Turkey,59
2878,2893,11741,FDF,Martinique,SLU,Saint Lucia,,Guadeloupe,63
2893,2878,11741,SLU,Saint Lucia,FDF,Martinique,,Guadeloupe,63
2877,2881,16149,DOM,Dominica,PTP,Guadeloupe,,Netherlands Antilles,84
2881,2877,16149,PTP,Guadeloupe,DOM,Dominica,,Netherlands Antilles,84
467,520,10800,BHD,United Kingdom,IOM,Isle of Man,,Lithuania,100
520,467,10800,IOM,Isle of Man,BHD,United Kingdom,,Lithuania,100
2890,2883,16475,SJU,Puerto Rico,STT,Virgin Islands,TUR European Airways,Turkey,109
2883,2890,16475,STT,Virgin Islands,SJU,Puerto Rico,TUR European Airways,Turkey,109
514,520,10800,BLK,United Kingdom,IOM,Isle of Man,,Lithuania,110
520,514,10800,IOM,Isle of Man,BLK,United Kingdom,,Lithuania,110
2874,6460,18529,ANU,Antigua and Barbuda,SBH,France,,United States,139
6460,2874,18529,SBH,France,ANU,Antigua and Barbuda,,United States,139
2057,2241,4559,BAH,Bahrain,DOH,Qatar,Swiss Airlines,Switzerland,146
2241,2057,4559,DOH,Qatar,BAH,Bahrain,Swiss Airlines,Switzerland,146
2241,2057,3871,DOH,Qatar,BAH,Bahrain,PIA Pakistan International,Pakistan,146
2903,2899,16475,EIS,British Virgin Islands,SXM,Netherlands Antilles,TUR European Airways,Turkey,158
2899,2903,16475,SXM,Netherlands Antilles,EIS,British Virgin Islands,TUR European Airways,Turkey,158
1050,1084,1531,BJL,Gambia,DKR,Senegal,SN Brussels Airlines,Belgium,180
1084,1050,1531,DKR,Senegal,BJL,Gambia,SN Brussels Airlines,Belgium,180
2883,2899,16475,STT,Virgin Islands,SXM,Netherlands Antilles,TUR European Airways,Turkey,200
2899,2883,16475,SXM,Netherlands Antilles,STT,Virgin Islands,TUR European Airways,Turkey,200
520,521,10800,IOM,Isle of Man,NCL,United Kingdom,,Lithuania,217
521,520,10800,NCL,United Kingdom,IOM,Isle of Man,,Lithuania,217
1895,1754,14849,CAP,Haiti,PLS,Turks and Caicos Islands,,Italy,227
1754,1895,14849,PLS,Turks and Caicos Islands,CAP,Haiti,,Italy,227
1895,1754,10776,CAP,Haiti,PLS,Turks and Caicos Islands,,United States,227
1754,1895,10776,PLS,Turks and Caicos Islands,CAP,Haiti,,United States,227
6460,2883,18529,SBH,France,STT,Virgin Islands,,United States,231
2883,6460,18529,STT,Virgin Islands,SBH,France,,United States,231
3043,3076,19676,CCU,India,DAC,Bangladesh,Rainbow Air POL,United States,239
3076,3043,19676,DAC,Bangladesh,CCU,India,Rainbow Air POL,United States,239
5811,1897,10776,JBQ,Dominican Republic,PAP,Haiti,,United States,243
1897,5811,10776,PAP,Haiti,JBQ,Dominican Republic,,United States,243
2903,6079,16475,EIS,British Virgin Islands,NEV,Saint Kitts and Nevis,TUR European Airways,Turkey,248
6795,6954,13335,COQ,Mongolia,NZH,China,Homer Sky,Germany,253
6954,6795,13335,NZH,China,COQ,Mongolia,Homer Sky,Germany,253
609,342,4319,CPH,Denmark,HAM,Germany,SAS Scandinavian Airlines,Sweden,280
342,609,4319,HAM,Germany,CPH,Denmark,SAS Scandinavian Airlines,Sweden,280
609,342,2297,CPH,Denmark,HAM,Germany,EasyJet Airline,United Kingdom,280
342,609,2297,HAM,Germany,CPH,Denmark,EasyJet Airline,United Kingdom,280
4053,340,4319,BSL,Switzerland,FRA,Germany,SAS Scandinavian Airlines,Sweden,281
340,4053,4319,FRA,Germany,BSL,Switzerland,SAS Scandinavian Airlines,Sweden,281
6079,2883,16475,NEV,Saint Kitts and Nevis,STT,Virgin Islands,TUR European Airways,Turkey,282
